,precision,recall,f1-score,support
0,0.958904109589041,0.9333333333333333,0.9459459459459459,300.0
1,0.9457013574660633,0.9247787610619469,0.9351230425055929,226.0
2,0.9444444444444444,0.9540816326530612,0.949238578680203,392.0
3,0.9525065963060686,0.9376623376623376,0.9450261780104712,385.0
4,0.9287356321839081,0.957345971563981,0.9428238039673279,422.0
5,0.8768328445747801,0.9256965944272446,0.9006024096385542,323.0
6,0.9454545454545454,0.9017341040462428,0.9230769230769231,346.0
accuracy,0.9352548036758563,0.9352548036758563,0.9352548036758563,0.9352548036758563
macro avg,0.936082790002693,0.9335189621068782,0.9345481259750026,2394.0
weighted avg,0.9359263658189796,0.9352548036758563,0.9353421185208018,2394.0
