,precision,recall,f1-score,support
0,0.9295774647887324,0.9117421335379893,0.9205734211545913,1303.0
1,0.9525166191832859,0.9143117593436645,0.9330232558139535,1097.0
2,0.8602681721947777,0.853641456582633,0.8569420035149385,1428.0
3,0.9027777777777778,0.8877086494688923,0.8951798010711554,659.0
4,0.8955223880597015,0.9208972845336482,0.9080325960419092,847.0
5,0.879986590680523,0.8974358974358975,0.8886255924170616,2925.0
6,0.8456843940714909,0.8523725834797891,0.849015317286652,1138.0
accuracy,0.8907098010003193,0.8907098010003193,0.8907098010003193,0.8907098010003193
macro avg,0.8951904866794698,0.8911585377689306,0.8930559981857515,9397.0
weighted avg,0.8911781158022705,0.8907098010003193,0.8908357185332739,9397.0
