,precision,recall,f1-score,support
0,0.9566666666666667,0.9566666666666667,0.9566666666666667,300.0
1,0.9634703196347032,0.9336283185840708,0.9483146067415731,226.0
2,0.9477611940298507,0.9719387755102041,0.9596977329974811,392.0
3,0.9483204134366925,0.9532467532467532,0.9507772020725389,385.0
4,0.9485981308411215,0.9620853080568721,0.9552941176470588,422.0
5,0.9051987767584098,0.9164086687306502,0.9107692307692308,323.0
6,0.9516616314199395,0.9104046242774566,0.930576070901034,346.0
accuracy,0.9452798663324979,0.9452798663324979,0.9452798663324979,0.9452798663324979
macro avg,0.9459538761124835,0.9434827307246676,0.9445850896850833,2394.0
weighted avg,0.9454187886589346,0.9452798663324979,0.9452221115178836,2394.0
