,precision,recall,f1-score,support
0,0.9555555555555556,0.9555555555555556,0.9555555555555556,90.0
1,0.9615384615384616,0.8823529411764706,0.9202453987730062,85.0
2,0.9318181818181818,0.9761904761904762,0.9534883720930233,84.0
3,0.8021978021978022,0.9240506329113924,0.8588235294117647,79.0
4,0.9036144578313253,0.9259259259259259,0.9146341463414634,81.0
5,0.9622641509433962,0.6710526315789473,0.7906976744186046,76.0
6,0.7444444444444445,0.8072289156626506,0.7745664739884393,83.0
7,0.8758620689655172,0.8523489932885906,0.8639455782312925,149.0
8,0.8551724137931035,0.9465648854961832,0.8985507246376812,131.0
9,0.8535031847133758,0.8933333333333333,0.8729641693811075,150.0
10,0.984375,0.9,0.9402985074626866,140.0
accuracy,0.8885017421602788,0.8885017421602788,0.8885017421602788,0.8885017421602788
macro avg,0.893667792891015,0.8849640264654114,0.8857972845722387,1148.0
weighted avg,0.893606158982415,0.8885017421602788,0.8881993031023544,1148.0
