,precision,recall,f1-score,support
0,0.8813559322033898,0.8666666666666667,0.8739495798319328,60.0
1,0.8888888888888888,0.8,0.8421052631578947,60.0
2,0.9344262295081968,0.95,0.9421487603305785,60.0
3,0.9827586206896551,0.95,0.9661016949152542,60.0
4,0.9666666666666667,0.9666666666666667,0.9666666666666667,60.0
5,0.84375,0.9,0.8709677419354839,60.0
6,0.9487179487179487,0.9135802469135802,0.9308176100628931,81.0
7,0.9534883720930233,0.9647058823529412,0.9590643274853801,85.0
8,0.8461538461538461,0.8461538461538461,0.8461538461538461,78.0
9,0.7804878048780488,0.8,0.7901234567901234,80.0
10,0.7671232876712328,0.717948717948718,0.7417218543046358,78.0
11,0.8275862068965517,0.9113924050632911,0.8674698795180723,79.0
12,0.8690476190476191,0.9358974358974359,0.9012345679012346,78.0
13,0.9154929577464789,0.8783783783783784,0.896551724137931,74.0
14,0.8837209302325582,0.9382716049382716,0.9101796407185628,81.0
15,0.9027777777777778,0.9420289855072463,0.9219858156028369,69.0
16,0.927710843373494,0.9166666666666666,0.9221556886227545,84.0
17,0.9305555555555556,0.8701298701298701,0.8993288590604027,77.0
18,0.926829268292683,0.926829268292683,0.926829268292683,82.0
19,0.9647058823529412,0.9647058823529412,0.9647058823529412,85.0
20,0.925,0.961038961038961,0.9426751592356688,77.0
21,0.9456521739130435,0.9886363636363636,0.9666666666666667,88.0
22,0.9,0.9,0.9,90.0
23,0.9259259259259259,0.8064516129032258,0.8620689655172413,62.0
24,0.9558823529411765,0.9154929577464789,0.935251798561151,71.0
25,0.935064935064935,0.972972972972973,0.9536423841059603,74.0
26,0.9365079365079365,0.921875,0.9291338582677166,64.0
27,0.7592592592592593,0.7884615384615384,0.7735849056603774,52.0
28,0.8181818181818182,0.7714285714285715,0.7941176470588235,70.0
29,0.8787878787878788,0.8529411764705882,0.8656716417910447,68.0
30,0.9382716049382716,0.95,0.9440993788819876,80.0
31,0.7714285714285715,0.8059701492537313,0.7883211678832117,67.0
32,0.8275862068965517,0.8,0.8135593220338984,60.0
accuracy,0.8939014202172096,0.8939014202172096,0.8939014202172096,0.8939014202172096
macro avg,0.8927210091694523,0.8907664190255041,0.8911834855607835,2394.0
weighted avg,0.8943885961690687,0.8939014202172096,0.893607658781746,2394.0
