,precision,recall,f1-score,support
0,0.967032967032967,0.9777777777777777,0.9723756906077348,90.0
1,0.9651162790697675,0.9764705882352941,0.9707602339181286,85.0
2,0.9879518072289156,0.9761904761904762,0.9820359281437125,84.0
3,0.8860759493670886,0.8860759493670886,0.8860759493670886,79.0
4,0.8863636363636364,0.9629629629629629,0.9230769230769231,81.0
5,0.9523809523809523,0.7894736842105263,0.8633093525179856,76.0
6,0.8426966292134831,0.9036144578313253,0.872093023255814,83.0
7,0.9300699300699301,0.8926174496644296,0.910958904109589,149.0
8,0.8785714285714286,0.9389312977099237,0.9077490774907749,131.0
9,0.9261744966442953,0.92,0.9230769230769231,150.0
10,0.9854014598540146,0.9642857142857143,0.9747292418772563,140.0
accuracy,0.9277003484320557,0.9277003484320557,0.9277003484320557,0.9277003484320557
macro avg,0.9279850487087707,0.926218214385047,0.9260219315856301,1148.0
weighted avg,0.9292087851147519,0.9277003484320557,0.9275745214987925,1148.0
