,precision,recall,f1-score,support
0,0.9429452582883577,0.9386032233307752,0.9407692307692308,1303.0
1,0.9402714932126697,0.9471285323609845,0.9436875567665758,1097.0
2,0.8269592476489028,0.9236694677871149,0.8726430697982137,1428.0
3,0.9307086614173228,0.8968133535660091,0.9134466769706336,659.0
4,0.908246225319396,0.9232585596221959,0.9156908665105387,847.0
5,0.9153140437544107,0.8868376068376068,0.9008508421600973,2925.0
6,0.9065420560747663,0.8523725834797891,0.8786231884057971,1138.0
accuracy,0.9064595083537299,0.9064595083537299,0.9064595083537299,0.9064595083537299
macro avg,0.9101409979594036,0.9098119038549252,0.9093873473401552,9397.0
weighted avg,0.9080124831074751,0.9064595083537299,0.9066292739086143,9397.0
